age,weight,height,injury_type,goal,exercise
58,88,168,upper_back,rehab,Overhead Arm Hold
42,87,154,lower_back,strength,Plank
73,73,170,legs,flexibility,Standing calf raise
68,68,149,upper_back,flexibility,Reverse Tabletop Pose
69,113,155,shoulder,flexibility,Plank
46,76,162,upper_back,flexibility,Overhead Arm Hold
77,91,185,shoulder,strength,Overhead Arm Hold
39,62,174,upper_back,rehab,Overhead Arm Hold
66,79,177,none,flexibility,Bird Dog Hold
88,80,181,legs,flexibility,Chair pose
45,88,200,core,flexibility,Bird Dog Hold
50,48,165,core,rehab,Reverse Tabletop Pose
59,84,181,core,strength,Bridge pose hold
51,68,176,shoulder,rehab,Overhead Arm Hold
37,86,176,hips,strength,Bird Dog Hold
59,69,185,core,flexibility,Reverse Tabletop Pose
44,71,160,shoulder,rehab,Reverse Tabletop Pose
64,79,159,none,rehab,Bird Dog Hold
46,69,168,shoulder,flexibility,Plank
79,76,162,upper_back,rehab,Overhead Arm Hold
47,67,168,shoulder,flexibility,Side plank
54,59,183,upper_back,flexibility,Plank
69,95,159,none,strength,Standing quad stretch (L/R)
41,66,161,legs,strength,Bridge pose hold
61,80,167,shoulder,flexibility,Reverse Tabletop Pose
76,91,162,hips,flexibility,Bird Dog Hold
36,74,142,hips,rehab,Half-Kneeling Hip Flexor Stretch
60,72,158,legs,flexibility,Standing calf raise
62,85,173,none,flexibility,Overhead Arm Hold
69,96,181,core,rehab,Bird Dog Hold
41,67,151,hips,flexibility,Half-Kneeling Hip Flexor Stretch
40,80,151,upper_back,flexibility,Plank
65,60,165,shoulder,strength,Reverse Tabletop Pose
62,77,140,lower_back,flexibility,Bridge pose hold
61,82,159,none,flexibility,Butterfly stretch
63,71,144,shoulder,rehab,Reverse Tabletop Pose
49,76,180,none,strength,Bird Dog Hold
61,64,156,none,strength,Bridge pose hold
62,83,184,shoulder,flexibility,Overhead Arm Hold
48,95,177,lower_back,strength,Dead Bug Hold
83,68,157,core,strength,Bird Dog Hold
64,74,152,none,strength,Overhead Arm Hold
42,88,162,hips,rehab,Butterfly stretch
67,97,163,hips,rehab,Standing quad stretch (L/R)
45,63,169,shoulder,strength,Plank
69,80,155,hips,strength,Half-Kneeling Hip Flexor Stretch
74,86,173,none,flexibility,Bridge pose hold
47,81,168,none,strength,Plank
71,51,161,upper_back,rehab,Overhead Arm Hold
64,88,156,none,flexibility,Standing quad stretch (L/R)
69,101,162,upper_back,rehab,Overhead Arm Hold
84,83,155,lower_back,rehab,Bridge pose hold
55,69,165,none,rehab,Bridge pose hold
48,76,165,shoulder,rehab,Reverse Tabletop Pose
46,104,168,core,rehab,Reverse Tabletop Pose
47,93,185,upper_back,flexibility,Reverse Tabletop Pose
57,90,163,legs,rehab,Standing quad stretch (L/R)
63,86,176,hips,strength,Half-Kneeling Hip Flexor Stretch
62,74,167,core,flexibility,Bird Dog Hold
69,79,162,shoulder,strength,Reverse Tabletop Pose
58,81,163,upper_back,flexibility,Reverse Tabletop Pose
78,89,164,lower_back,strength,Bird Dog Hold
54,101,168,upper_back,rehab,Overhead Arm Hold
95,96,153,legs,strength,Straight leg raises (L/R)
66,64,147,upper_back,rehab,Overhead Arm Hold
46,85,172,shoulder,flexibility,Side plank
44,91,175,lower_back,rehab,Bird Dog Hold
65,90,173,none,strength,Reverse Tabletop Pose
55,74,166,lower_back,rehab,Bridge pose hold
68,118,173,legs,rehab,Straight leg raises (L/R)
64,66,173,shoulder,flexibility,Overhead Arm Hold
57,68,174,legs,rehab,Straight leg raises (L/R)
47,85,154,legs,flexibility,Chair pose
38,108,152,legs,strength,Standing calf raise
52,72,160,upper_back,flexibility,Reverse Tabletop Pose
70,79,164,hips,strength,Half-Kneeling Hip Flexor Stretch
61,95,162,upper_back,strength,Overhead Arm Hold
41,82,143,shoulder,rehab,Reverse Tabletop Pose
60,78,185,core,flexibility,Hollow Body Hold
63,89,161,legs,strength,Standing quad stretch (L/R)
46,85,167,legs,rehab,Standing quad stretch (L/R)
60,95,179,hips,rehab,Half-Kneeling Hip Flexor Stretch
59,98,137,lower_back,strength,Bridge pose hold
43,86,159,legs,rehab,Standing quad stretch (L/R)
63,86,160,upper_back,flexibility,Plank
66,85,161,none,strength,Bird Dog Hold
73,88,162,legs,strength,Straight leg raises (L/R)
72,83,181,shoulder,rehab,Overhead Arm Hold
39,82,172,none,strength,Dead Bug Hold
45,97,176,hips,strength,Side plank
65,101,165,core,strength,Bridge pose hold
65,63,148,lower_back,flexibility,Bridge pose hold
65,82,140,core,flexibility,Side plank
99,73,147,shoulder,flexibility,Reverse Tabletop Pose
66,78,169,upper_back,flexibility,Reverse Tabletop Pose
73,87,165,core,rehab,Bird Dog Hold
71,90,162,shoulder,strength,Reverse Tabletop Pose
67,81,160,core,flexibility,Bridge pose hold
54,58,188,legs,rehab,Standing quad stretch (L/R)
68,70,155,hips,flexibility,Side plank
48,93,175,legs,rehab,Straight leg raises (L/R)
55,48,165,hips,flexibility,Half-Kneeling Hip Flexor Stretch
51,97,164,upper_back,flexibility,Overhead Arm Hold
59,89,178,shoulder,strength,Reverse Tabletop Pose
89,98,182,core,flexibility,Hollow Body Hold
33,80,162,hips,flexibility,Half-Kneeling Hip Flexor Stretch
67,56,174,shoulder,rehab,Reverse Tabletop Pose
36,87,169,none,strength,Bridge pose hold
52,98,165,core,strength,Bird Dog Hold
73,94,167,none,rehab,Straight leg raises (L/R)
59,74,156,none,flexibility,Plank
43,83,161,hips,rehab,Half-Kneeling Hip Flexor Stretch
48,75,158,legs,flexibility,Standing calf raise
67,72,175,hips,flexibility,Side plank
48,94,163,hips,strength,Side plank
61,67,149,lower_back,flexibility,Bridge pose hold
59,71,156,core,strength,Bird Dog Hold
49,68,130,core,strength,Side plank
87,63,159,none,rehab,Half-Kneeling Hip Flexor Stretch
67,84,165,upper_back,flexibility,Overhead Arm Hold
31,97,163,core,rehab,Bird Dog Hold
61,80,188,legs,rehab,Calf stretch
49,63,171,legs,rehab,Straight leg raises (L/R)
70,92,171,shoulder,rehab,Overhead Arm Hold
47,103,145,hips,strength,Side plank
56,74,160,hips,strength,Butterfly stretch
65,76,159,core,strength,Reverse Tabletop Pose
70,88,155,hips,strength,Butterfly stretch
42,102,155,legs,flexibility,Straight leg raises (L/R)
53,76,143,lower_back,strength,Bird Dog Hold
52,65,150,shoulder,flexibility,Overhead Arm Hold
49,90,175,hips,rehab,Butterfly stretch
82,92,163,lower_back,flexibility,Bridge pose hold
63,82,159,core,strength,Bird Dog Hold
41,75,164,upper_back,strength,Plank
70,94,178,legs,strength,Calf stretch
87,89,165,upper_back,rehab,Overhead Arm Hold
72,72,171,legs,rehab,Standing quad stretch (L/R)
37,83,155,shoulder,strength,Side plank
51,65,157,core,rehab,Reverse Tabletop Pose
75,91,169,upper_back,flexibility,Plank
48,79,187,shoulder,flexibility,Side plank
64,77,181,none,flexibility,Bird Dog Hold
68,82,171,none,flexibility,Reverse Tabletop Pose
45,83,166,shoulder,strength,Side plank
57,93,181,shoulder,strength,Reverse Tabletop Pose
18,89,174,upper_back,flexibility,Reverse Tabletop Pose
44,80,138,upper_back,flexibility,Overhead Arm Hold
55,92,152,upper_back,strength,Overhead Arm Hold
41,87,168,none,rehab,Straight leg raises (L/R)
80,77,144,none,flexibility,Chair pose
39,80,154,hips,rehab,Standing quad stretch (L/R)
52,80,156,shoulder,strength,Overhead Arm Hold
60,88,162,core,flexibility,Hollow Body Hold
77,77,161,hips,flexibility,Half-Kneeling Hip Flexor Stretch
39,77,161,legs,rehab,Calf stretch
74,107,174,none,rehab,Calf stretch
58,94,161,upper_back,rehab,Overhead Arm Hold
45,72,160,core,rehab,Reverse Tabletop Pose
64,89,149,lower_back,flexibility,Dead Bug Hold
61,83,176,legs,strength,Standing quad stretch (L/R)
50,87,157,shoulder,rehab,Reverse Tabletop Pose
59,84,152,none,rehab,Bridge pose hold
53,97,167,none,strength,Standing quad stretch (L/R)
60,86,156,shoulder,flexibility,Plank
67,81,158,core,strength,Bridge pose hold
79,95,168,hips,strength,Butterfly stretch
41,85,161,none,rehab,Bird Dog Hold
87,84,191,upper_back,strength,Overhead Arm Hold
32,86,164,none,strength,Reverse Tabletop Pose
56,81,172,core,flexibility,Plank
66,82,142,upper_back,rehab,Overhead Arm Hold
62,75,154,none,rehab,Overhead Arm Hold
50,73,152,legs,rehab,Standing quad stretch (L/R)
55,70,153,core,flexibility,Reverse Tabletop Pose
51,65,169,legs,flexibility,Standing calf raise
50,71,177,legs,flexibility,Straight leg raises (L/R)
69,80,169,lower_back,flexibility,Bird Dog Hold
63,83,162,lower_back,rehab,Bird Dog Hold
49,79,157,shoulder,rehab,Reverse Tabletop Pose
70,53,177,none,strength,Overhead Arm Hold
62,102,189,shoulder,flexibility,Overhead Arm Hold
69,96,166,shoulder,strength,Reverse Tabletop Pose
66,88,175,core,flexibility,Bird Dog Hold
47,106,169,upper_back,strength,Reverse Tabletop Pose
50,70,173,shoulder,rehab,Overhead Arm Hold
68,106,151,hips,rehab,Half-Kneeling Hip Flexor Stretch
66,70,159,legs,flexibility,Straight leg raises (L/R)
58,85,169,core,rehab,Bridge pose hold
60,66,179,upper_back,flexibility,Plank
75,82,155,none,strength,Overhead Arm Hold
50,87,141,lower_back,flexibility,Bridge pose hold
65,80,159,legs,strength,Standing quad stretch (L/R)
55,91,176,shoulder,strength,Overhead Arm Hold
55,83,146,lower_back,flexibility,Plank
73,75,151,lower_back,rehab,Bird Dog Hold
69,75,166,lower_back,strength,Bird Dog Hold
69,92,163,core,rehab,Bird Dog Hold
76,74,171,legs,strength,Straight leg raises (L/R)
58,93,150,upper_back,strength,Overhead Arm Hold
67,97,161,legs,strength,Standing quad stretch (L/R)
54,61,178,hips,strength,Half-Kneeling Hip Flexor Stretch
62,96,151,shoulder,flexibility,Plank
56,108,182,core,strength,Reverse Tabletop Pose
59,85,152,upper_back,rehab,Overhead Arm Hold
66,89,174,core,rehab,Bird Dog Hold
47,95,160,upper_back,flexibility,Reverse Tabletop Pose
86,79,151,shoulder,strength,Overhead Arm Hold
44,84,159,none,flexibility,Bridge pose hold
42,66,171,hips,rehab,Standing quad stretch (L/R)
74,84,164,lower_back,strength,Bridge pose hold
69,88,178,shoulder,rehab,Reverse Tabletop Pose
66,88,181,lower_back,flexibility,Dead Bug Hold
66,95,151,shoulder,flexibility,Plank
58,72,150,legs,rehab,Calf stretch
46,75,149,core,strength,Hollow Body Hold
59,106,154,hips,strength,Half-Kneeling Hip Flexor Stretch
49,80,177,core,rehab,Bird Dog Hold
71,85,171,hips,rehab,Butterfly stretch
56,81,158,shoulder,strength,Overhead Arm Hold
47,72,164,hips,rehab,Standing quad stretch (L/R)
54,102,181,lower_back,flexibility,Bird Dog Hold
64,75,187,hips,strength,Butterfly stretch
50,68,168,hips,strength,Side plank
47,76,133,core,flexibility,Hollow Body Hold
61,57,168,hips,rehab,Butterfly stretch
61,74,175,none,strength,Straight leg raises (L/R)
51,70,167,upper_back,strength,Overhead Arm Hold
52,90,173,none,strength,Calf stretch
61,74,169,shoulder,rehab,Overhead Arm Hold
38,93,150,legs,strength,Standing calf raise
39,99,154,legs,rehab,Calf stretch
48,92,161,upper_back,flexibility,Overhead Arm Hold
55,79,177,core,rehab,Reverse Tabletop Pose
62,84,156,upper_back,rehab,Overhead Arm Hold
78,63,170,legs,flexibility,Calf stretch
70,80,168,lower_back,rehab,Bird Dog Hold
56,71,183,legs,flexibility,Calf stretch
58,91,164,legs,strength,Straight leg raises (L/R)
44,114,144,none,flexibility,Overhead Arm Hold
58,88,172,shoulder,flexibility,Plank
54,57,189,legs,strength,Standing quad stretch (L/R)
62,77,173,legs,strength,Standing quad stretch (L/R)
47,84,155,none,rehab,Straight leg raises (L/R)
65,83,152,hips,rehab,Butterfly stretch
79,73,153,upper_back,rehab,Overhead Arm Hold
57,85,188,none,strength,Reverse Tabletop Pose
63,66,161,legs,strength,Calf stretch
67,70,157,legs,strength,Straight leg raises (L/R)
53,90,163,lower_back,rehab,Bird Dog Hold
61,69,161,none,strength,Bird Dog Hold
58,89,183,legs,strength,Calf stretch
59,65,153,shoulder,flexibility,Side plank
48,104,178,core,flexibility,Bird Dog Hold
58,72,166,lower_back,strength,Bridge pose hold
65,79,179,legs,rehab,Straight leg raises (L/R)
78,86,183,core,flexibility,Dead Bug Hold
71,75,165,shoulder,strength,Reverse Tabletop Pose
87,84,161,upper_back,flexibility,Plank
48,89,165,legs,flexibility,Calf stretch
70,94,163,upper_back,rehab,Overhead Arm Hold
60,92,145,legs,strength,Straight leg raises (L/R)
88,80,183,lower_back,strength,Bird Dog Hold
47,80,167,lower_back,rehab,Bird Dog Hold
47,111,151,core,rehab,Reverse Tabletop Pose
50,94,140,shoulder,rehab,Reverse Tabletop Pose
29,70,137,hips,strength,Bird Dog Hold
51,83,173,none,flexibility,Calf stretch
48,78,157,core,strength,Side plank
60,80,159,core,strength,Bird Dog Hold
63,67,170,shoulder,rehab,Reverse Tabletop Pose
83,77,158,legs,rehab,Straight leg raises (L/R)
71,105,171,upper_back,rehab,Overhead Arm Hold
50,89,166,upper_back,strength,Plank
46,51,164,legs,rehab,Calf stretch
65,97,146,hips,rehab,Standing quad stretch (L/R)
40,96,155,hips,flexibility,Standing quad stretch (L/R)
83,78,172,hips,flexibility,Half-Kneeling Hip Flexor Stretch
74,91,157,legs,rehab,Straight leg raises (L/R)
52,71,179,none,flexibility,Standing calf raise
35,76,192,lower_back,strength,Hollow Body Hold
76,101,172,core,flexibility,Bird Dog Hold
56,79,182,lower_back,rehab,Bird Dog Hold
75,59,173,legs,strength,Straight leg raises (L/R)
36,81,158,lower_back,strength,Dead Bug Hold
50,81,167,none,flexibility,Standing calf raise
58,97,188,hips,rehab,Half-Kneeling Hip Flexor Stretch
59,82,158,lower_back,rehab,Bridge pose hold
52,77,152,legs,flexibility,Standing quad stretch (L/R)
66,95,151,core,flexibility,Plank
44,84,162,lower_back,flexibility,Dead Bug Hold
56,73,153,lower_back,rehab,Bird Dog Hold
60,96,184,lower_back,flexibility,Plank
65,84,167,lower_back,flexibility,Plank
68,82,176,core,flexibility,Side plank
43,84,161,legs,rehab,Straight leg raises (L/R)
37,69,151,shoulder,strength,Side plank
75,75,149,lower_back,rehab,Bird Dog Hold
62,82,154,shoulder,rehab,Reverse Tabletop Pose
48,80,169,core,strength,Dead Bug Hold
79,98,171,legs,rehab,Straight leg raises (L/R)
60,85,172,upper_back,strength,Overhead Arm Hold
74,93,147,none,strength,Standing quad stretch (L/R)
59,82,164,shoulder,strength,Overhead Arm Hold
86,95,153,legs,strength,Standing quad stretch (L/R)
82,87,169,upper_back,rehab,Overhead Arm Hold
55,82,170,lower_back,strength,Bird Dog Hold
71,82,151,core,flexibility,Reverse Tabletop Pose
67,70,176,core,strength,Reverse Tabletop Pose
76,88,192,legs,strength,Standing quad stretch (L/R)
45,81,174,hips,rehab,Half-Kneeling Hip Flexor Stretch
67,76,163,upper_back,flexibility,Overhead Arm Hold
72,96,161,hips,strength,Butterfly stretch
34,66,162,core,flexibility,Reverse Tabletop Pose
42,77,156,core,strength,Hollow Body Hold
30,95,167,lower_back,rehab,Bridge pose hold
54,86,151,lower_back,flexibility,Bird Dog Hold
68,81,142,shoulder,flexibility,Overhead Arm Hold
78,85,167,core,rehab,Reverse Tabletop Pose
59,84,165,lower_back,rehab,Bird Dog Hold
80,63,158,shoulder,rehab,Reverse Tabletop Pose
39,78,150,upper_back,rehab,Overhead Arm Hold
35,102,168,hips,flexibility,Butterfly stretch
57,74,153,upper_back,rehab,Overhead Arm Hold
63,78,163,none,flexibility,Overhead Arm Hold
58,75,185,hips,strength,Butterfly stretch
30,81,172,legs,strength,Bridge pose hold
57,75,149,upper_back,rehab,Overhead Arm Hold
40,88,150,none,rehab,Overhead Arm Hold
67,84,166,legs,flexibility,Chair pose
63,92,148,hips,flexibility,Side plank
45,69,141,core,strength,Dead Bug Hold
51,78,171,core,flexibility,Bridge pose hold
44,79,168,shoulder,rehab,Overhead Arm Hold
57,88,170,upper_back,strength,Overhead Arm Hold
71,72,168,upper_back,strength,Overhead Arm Hold
45,93,164,shoulder,rehab,Overhead Arm Hold
65,97,157,shoulder,flexibility,Side plank
51,70,171,lower_back,rehab,Bird Dog Hold
47,76,182,none,flexibility,Straight leg raises (L/R)
57,75,159,core,strength,Bird Dog Hold
44,115,153,lower_back,rehab,Bridge pose hold
51,77,151,hips,strength,Standing quad stretch (L/R)
42,103,154,core,strength,Side plank
85,66,167,upper_back,rehab,Overhead Arm Hold
58,70,140,shoulder,strength,Overhead Arm Hold
49,73,170,shoulder,flexibility,Overhead Arm Hold
61,71,172,none,rehab,Reverse Tabletop Pose
56,79,144,core,flexibility,Hollow Body Hold
55,73,153,legs,flexibility,Straight leg raises (L/R)
66,72,165,none,flexibility,Straight leg raises (L/R)
68,96,163,none,rehab,Overhead Arm Hold
51,97,171,lower_back,flexibility,Bird Dog Hold
50,94,163,core,rehab,Reverse Tabletop Pose
54,89,179,core,flexibility,Reverse Tabletop Pose
27,83,161,legs,rehab,Calf stretch
38,76,153,shoulder,flexibility,Plank
76,70,152,upper_back,strength,Overhead Arm Hold
80,87,173,upper_back,flexibility,Overhead Arm Hold
55,67,165,legs,strength,Standing quad stretch (L/R)
66,70,172,none,strength,Overhead Arm Hold
62,96,172,lower_back,flexibility,Dead Bug Hold
99,106,141,hips,flexibility,Bird Dog Hold
73,87,151,core,strength,Bridge pose hold
56,96,153,upper_back,rehab,Overhead Arm Hold
45,79,155,hips,flexibility,Half-Kneeling Hip Flexor Stretch
36,65,160,core,strength,Plank
61,90,176,lower_back,rehab,Bird Dog Hold
48,89,178,legs,flexibility,Straight leg raises (L/R)
39,83,161,none,rehab,Bird Dog Hold
49,79,162,lower_back,strength,Plank
43,94,156,shoulder,flexibility,Side plank
81,70,166,lower_back,rehab,Bridge pose hold
70,72,167,legs,flexibility,Standing calf raise
58,69,174,legs,rehab,Calf stretch
78,83,174,lower_back,rehab,Bird Dog Hold
59,68,138,core,flexibility,Plank
46,73,163,legs,flexibility,Standing quad stretch (L/R)
79,73,181,shoulder,flexibility,Overhead Arm Hold
65,79,159,hips,strength,Standing quad stretch (L/R)
44,63,178,lower_back,flexibility,Bird Dog Hold
55,83,161,legs,rehab,Calf stretch
46,98,167,none,flexibility,Reverse Tabletop Pose
39,84,151,core,strength,Dead Bug Hold
71,101,152,core,strength,Reverse Tabletop Pose
84,99,173,core,flexibility,Reverse Tabletop Pose
39,92,175,hips,rehab,Standing quad stretch (L/R)
66,83,165,shoulder,strength,Overhead Arm Hold
49,82,150,lower_back,rehab,Bird Dog Hold
51,92,165,legs,strength,Straight leg raises (L/R)
50,77,179,hips,strength,Bird Dog Hold
46,58,185,shoulder,rehab,Reverse Tabletop Pose
59,88,161,upper_back,rehab,Overhead Arm Hold
47,68,145,legs,strength,Standing calf raise
62,70,174,core,rehab,Bird Dog Hold
57,82,161,core,flexibility,Reverse Tabletop Pose
55,81,176,shoulder,flexibility,Plank
46,64,168,none,strength,Side plank
50,84,154,none,flexibility,Side plank
68,94,165,hips,strength,Half-Kneeling Hip Flexor Stretch
65,68,180,none,rehab,Calf stretch
45,98,163,core,rehab,Bird Dog Hold
59,62,152,lower_back,flexibility,Hollow Body Hold
68,108,146,hips,rehab,Standing quad stretch (L/R)
35,77,155,core,flexibility,Bird Dog Hold
65,84,160,lower_back,strength,Bird Dog Hold
49,58,174,shoulder,flexibility,Side plank
66,81,151,shoulder,flexibility,Side plank
48,85,183,hips,rehab,Standing quad stretch (L/R)
34,81,149,hips,rehab,Standing quad stretch (L/R)
36,75,192,lower_back,rehab,Bird Dog Hold
59,70,185,none,flexibility,Plank
62,96,166,legs,rehab,Straight leg raises (L/R)
46,82,145,hips,strength,Side plank
67,101,164,core,flexibility,Bird Dog Hold
36,75,160,legs,flexibility,Straight leg raises (L/R)
57,77,150,legs,flexibility,Calf stretch
42,92,168,none,strength,Plank
49,62,155,legs,strength,Chair pose
59,67,156,shoulder,rehab,Reverse Tabletop Pose
46,96,162,shoulder,rehab,Overhead Arm Hold
53,67,158,legs,flexibility,Straight leg raises (L/R)
72,59,189,legs,rehab,Calf stretch
50,105,158,shoulder,strength,Plank
69,65,170,lower_back,rehab,Bird Dog Hold
43,84,166,none,rehab,Overhead Arm Hold
65,83,169,none,flexibility,Bird Dog Hold
77,47,170,core,strength,Bird Dog Hold
25,79,175,none,strength,Plank
47,88,168,upper_back,strength,Plank
66,86,167,hips,rehab,Butterfly stretch
55,93,165,legs,strength,Standing quad stretch (L/R)
63,77,163,shoulder,rehab,Reverse Tabletop Pose
50,91,154,none,flexibility,Overhead Arm Hold
59,73,164,legs,strength,Calf stretch
56,64,167,legs,flexibility,Standing quad stretch (L/R)
74,66,169,legs,rehab,Calf stretch
61,64,167,none,strength,Reverse Tabletop Pose
63,95,162,legs,rehab,Straight leg raises (L/R)
52,63,164,lower_back,strength,Bridge pose hold
51,85,158,hips,rehab,Half-Kneeling Hip Flexor Stretch
52,79,168,hips,rehab,Standing quad stretch (L/R)
63,81,162,shoulder,rehab,Overhead Arm Hold
52,99,167,lower_back,flexibility,Hollow Body Hold
62,77,176,lower_back,strength,Bridge pose hold
86,90,156,hips,rehab,Butterfly stretch
70,82,171,shoulder,strength,Reverse Tabletop Pose
54,80,165,lower_back,rehab,Bridge pose hold
74,111,188,shoulder,strength,Reverse Tabletop Pose
52,64,162,hips,rehab,Butterfly stretch
30,98,173,legs,rehab,Calf stretch
44,90,165,core,flexibility,Bridge pose hold
33,76,148,core,strength,Dead Bug Hold
53,102,158,core,flexibility,Plank
58,59,175,lower_back,rehab,Bird Dog Hold
81,75,159,shoulder,flexibility,Side plank
62,67,139,legs,flexibility,Bridge pose hold
55,87,164,hips,flexibility,Side plank
69,68,152,none,flexibility,Overhead Arm Hold
28,87,166,upper_back,strength,Reverse Tabletop Pose
61,80,183,core,flexibility,Hollow Body Hold
68,76,173,lower_back,rehab,Bird Dog Hold
38,87,182,none,rehab,Overhead Arm Hold
73,79,158,lower_back,flexibility,Bridge pose hold
